#Organism_name,taxonomy_ID,Supergroup_group,Phylum,Class,Mitochondria_type,Plastid_type
Leishmania gerbilli,40285,Discoba,Euglenozoa,Kinetoplastea,Aerobic_mitochondria,None
Canthigaster valentini,223152,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Meretrix lusoria,74491,Opisthokonta_Metazoa,Mollusca,Bivalvia,Aerobic_mitochondria,None
Alnus glutinosa,3517,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Siganus unimaculatus,215396,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Marmota monax,9995,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Saccharomyces cerevisiae YJM1129,1293430,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Plasmodium cynomolgi strain B,1120755,SAR_Alveolata,Alveolata,Apicomplexa,Aerobic_mitochondria,Secondary_red_plastid_Apicoplast
Caulochytrium protostelioides,1555241,Opisthokonta_Fungi,Chytridiomycota,Chytridiomycetes,Aerobic_mitochondria,None 
Illicium anisatum,124794,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Isophya major,1678042,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Cyrtopodion scabrum,303590,Opisthokonta_Metazoa,Chordata,Lepidosauria,Aerobic_mitochondria,None
Junceella fragilis,98366,Opisthokonta_Metazoa,Cnidaria,Anthozoa,Aerobic_mitochondria,None
Cephalotermes rectangularis,187531,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Labiobarbus lineatus,381598,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Mugil cephalus,48193,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Xenopus itombwensis,542840,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Brasenia schreberi,4424,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
